1	13
2	4
2	13
2	40
2	47
2	54
3	14
3	16
3	55
4	13
5	15
5	25
5	31
5	39
5	48
6	24
6	34
6	46
7	20
7	39
8	26
8	82
9	12
9	29
9	76
9	77
10	30
10	37
10	43
11	42
12	28
13	54
14	18
14	19
14	24
14	38
14	66
15	21
15	25
15	39
15	48
15	66
16	17
17	35
17	45
18	19
18	75
19	20
20	38
20	75
21	25
21	31
21	39
22	34
22	44
22	76
23	33
23	44
24	38
24	48
24	55
24	61
24	66
25	35
25	39
25	50
25	60
25	76
27	37
27	45
28	30
28	41
29	76
30	32
30	43
30	68
30	79
31	39
32	41
32	43
34	39
34	41
35	44
35	50
35	65
35	80
36	49
36	62
36	69
36	73
36	81
37	45
38	58
38	61
38	75
39	50
40	47
41	43
44	65
46	57
47	49
47	53
47	54
48	60
49	53
49	62
49	69
49	73
49	78
49	81
51	53
51	71
51	75
52	80
52	83
53	54
53	62
56	63
56	68
56	83
58	61
58	64
58	80
59	63
59	79
60	70
60	74
62	66
62	81
64	68
64	79
65	76
66	72
66	78
67	71
67	74
67	83
68	79
69	73
69	78
69	81
72	77
72	78
72	81
73	78
73	81
74	83
75	82
77	78
78	81
80	83
